Id,breed,recipe_name,cooking_method,ingredients[0].name,ingredients[1].name,ingredients[2].name,ingredients[3].name,ingredients[4].name,ingredients[5].name
,Gaddi Kutta,Pomegranate Paratha with Bitter Gourd,Boiled,Pomegranate,Bitter Gourd,Bajra,Lentils,,
,Bangkaew,Ghee Khichdi with Wheat,Stir-fried,Ghee,Wheat,Apple,Goat,Ridge Gourd,
,Rajapalayam,Chicken Curry with Papaya,Slow-cooked,Chicken,Papaya,Curd,Pumpkin,Peas,
,Bakharwal Dog,Cucumber Khichdi with Bajra,Steamed,Cucumber,Bajra,Chicken,Bottle Gourd,,
,Jonangi,Carrots Pulao with Lentils,Raw,Carrots,Lentils,Pumpkin,Pomegranate,,
,Rajapalayam,Ridge Gourd Paratha with Lamb,Boiled,Ridge Gourd,Lamb,Bajra,,,
,Bangkaew,Watermelon Stew with Lentils,Pressure-cooked,Watermelon,Lentils,Coconut Oil,Sweet Potato,Spinach,
,Bangkaew,Banana Mash with Rice,Pressure-cooked,Banana,Rice,Eggs,Carrots,,
,Jonangi,Turmeric Stew with Oats,Baked,Turmeric,Oats,Banana,Eggs,Peas,
,Kanni,Cucumber Chunks with Pumpkin,Steamed,Cucumber,Pumpkin,Spinach,Fish,,
,Kaikadi,Peas Pulao with Lentils,Boiled,Peas,Lentils,Pumpkin,,,
,Vikhan Sheepdog,Rice Paratha with Fish,Stir-fried,Rice,Fish,Ghee,Watermelon,Ridge Gourd,Bottle Gourd
,Indian Pariah Dog,Ridge Gourd Curry with Rice,Raw,Ridge Gourd,Rice,Soya Chunks,,,
,Indian Bicolor Cat,Paneer Chunks with Ghee,Steamed,Paneer,Ghee,Papaya,Bitter Gourd,Bajra,
,Tangkhul Hui,Jowar Khichdi with Banana,Pressure-cooked,Jowar,Banana,Bottle Gourd,Lentils,,
,Indian Pariah Dog,Bajra Khichdi with Okra,Boiled,Bajra,Okra,Lentils,,,
,Tibetan Mastiff,Peas Stew with Sweet Potato,Raw,Peas,Sweet Potato,Chicken,Fenugreek Seeds,Carrots,Banana
,Mudhol Hound,Green Beans Khichdi with Bitter Gourd,Steamed,Green Beans,Bitter Gourd,Wheat,Fenugreek Seeds,Fish,Pomegranate
,Kaikadi,Soya Chunks Paratha with Spinach,Steamed,Soya Chunks,Spinach,Ragi,,,
,Indian Bicolor Cat,Carrots Mash with Apple,Baked,Carrots,Apple,Turmeric,Eggs,Rice,Carrots
,Rajapalayam,Papaya Pulao with Lamb,Steamed,Papaya,Lamb,Oats,Peas,,
,Gaddi Kutta,Green Beans Stew with Eggs,Pressure-cooked,Green Beans,Eggs,Turmeric,Bajra,Watermelon,
,Bakharwal Dog,Cucumber Paratha with Green Beans,Steamed,Cucumber,Green Beans,Bottle Gourd,Coconut Oil,Rice,Lentils
,Indian Spitz,Carrots Pulao with Lamb,Steamed,Carrots,Lamb,Watermelon,Ghee,Sweet Potato,
,Pandikona,Ghee Curry with Green Beans,Steamed,Ghee,Green Beans,Fish,Apple,Ragi,
,Kaikadi,Green Beans Stew with Goat,Pressure-cooked,Green Beans,Goat,Pumpkin,,,
